word,count,rank
Emerson,11,459
putting,11,460
run,11,461
looks,11,462
indeed,11,463
wake,11,464
blue,11,465
tomorrow,11,466
pull,11,467
car,11,468
truck,11,469
certainly,11,470
cake,11,471
stick,11,472
kiss,11,473
noodles,11,474
brown,11,475
idea,11,476
lobster,11,477
lap,10,478
that'll,10,479
basement,10,480
belongs,10,481
o,10,482
fell,10,483
stand,10,484
tree,10,485
bibbie,10,486
three,10,487
spill,10,488
picture,10,489
refrigerator,10,490
though,10,491
nuts,10,492
same,10,493
one's,10,494
belong,10,495
cubes,10,496
bicycle,10,497
rocking,10,498
window,10,499
holes,10,500
people,10,501
day,10,502
crayons,10,503
socks,10,504
broke,10,505
Cathy,10,506
supposed,10,507
how's,10,508
graham,9,509
thought,9,510
crackers,9,511
honey,9,512
things,9,513
books,9,514
banjo,9,515
Humpty_Dumpty,9,516
fish,9,517
swing,9,518
empty,9,519
pants,9,520
pick,9,521
gets,9,522
whose,9,523
try,9,524
pipe,9,525
broom,9,526
end,9,527
as_soon_as,9,528
work,9,529
different,9,530
remember,9,531
clay,9,532
front,9,533
mayonnaise,9,534
Granny's,9,535
took,8,536
he'd,8,537
Jack,8,538
man's,8,539
corner,8,540
stuck,8,541
Rangy,8,542
sick,8,543
mean,8,544
great,8,545
whole,8,546
baby's,8,547
feet,8,548
guess,8,549
cracking,8,550
wearing,8,551
Christmas,8,552
b,8,553
wet,8,554
haven't,8,555
week,8,556
tongue,8,557
inside,8,558
pour,8,559
heavy,8,560
name's,8,561
taking,8,562
quite,8,563
fine,8,564
cream,8,565
hands,8,566
ones,8,567
dirt,8,568
hello,8,569
spigot,8,570
tablet,8,571
call,7,572
eye,7,573
lots_of,7,574
hit,7,575
anything,7,576
fireplace,7,577
Kathy,7,578
horse,7,579
panties,7,580
once,7,581
tomato,7,582
pencils,7,583
page,7,584
bib,7,585
bang,7,586
quiet,7,587
suppose,7,588
somebody,7,589
stir,7,590
as,7,591
tower,7,592
fun,7,593
David,7,594
dry,7,595
block,7,596
than,7,597
lick,7,598
pocket,7,599
pieces,7,600
icing,7,601
building,7,602
cow,7,603
needs,7,604
instead,7,605
thirsty,7,606
cups,7,607
smack,7,608
Valentine,7,609
plate,7,610
tonight,7,611
feel,7,612
Saturday,7,613
board,7,614
rubber,7,615
New_Brunswick,7,616
train,7,617
Ohio,7,618
bones,7,619
meat,7,620
bandaid,7,621
feeling,7,622
thumb,7,623
talking,7,624
beach,7,625
Bx,7,626
fly,6,627
telephone,6,628
might,6,629
eats,6,630
could,6,631
fall,6,632
swimming,6,633
music,6,634
step,6,635
hand,6,636
carry,6,637
got_to,6,638
Granny,6,639
washing,6,640
wasn't,6,641
butterfly,6,642
glad,6,643
standing,6,644
throwing,6,645
jacket,6,646
nope,6,647
fast,6,648
behind,6,649
Humm_the_hamster,6,650
desk,6,651
bet,6,652
eyes,6,653
wear,6,654
pad,6,655
color,6,656
string,6,657
candy,6,658
far,6,659
hair,6,660
Mister,6,661
Marks,6,662
Goldrush,6,663
messy,6,664
wastebasket,6,665
Cathy's,6,666
pockets,6,667
check,6,668
short,6,669
napkins,6,670
cooking,6,671
I'd,6,672
friend,6,673
quick,6,674
spell,6,675
Easter,6,676
hope,6,677
air,6,678
bands,6,679
track,6,680
their,6,681
share,6,682
gently,6,683
a_lot,6,684
wan,5,685
radio,5,686
arm,5,687
Mama's,5,688
fox,5,689
tray,5,690
cereal,5,691
spilling,5,692
cutting,5,693
Nanny,5,694
thing,5,695
seven,5,696
running,5,697
nothing,5,698
sock,5,699
into,5,700
banana,5,701
sweater,5,702
welcome,5,703
vanilla,5,704
bad,5,705
Clip_clop,5,706
sink,5,707
stairs,5,708
boots,5,709
laying,5,710
knee,5,711
ride,5,712
shirt,5,713
kinda,5,714
funny,5,715
Danny,5,716
radiator,5,717
giving,5,718
clam,5,719
chowder,5,720
fruit,5,721
rug,5,722
mhm,5,723
snow,5,724
tea,5,725
soon,5,726
Jerry,5,727
teapot,5,728
push,5,729
card,5,730
cone,5,731
bead,5,732
through,5,733
wish,5,734
sort_of,5,735
pink,5,736
walk,5,737
pear,5,738
sweet,5,739
Boston,5,740
Swiss,5,741
carrots,5,742
key,5,743
Noel,5,744
Noel's,5,745
knot,5,746
pizzeroni,5,747
gate,5,748
folded,5,749
scratch,5,750
weeks,5,751
hurry,5,752
dripping,5,753
bap,5,754
being,5,755
cart,5,756
salad,5,757
night's,5,758
makes,5,759
wise,5,760
pitcher,5,761
egg,5,762
eyebrows,5,763
slippers,5,764
gave,4,765
soldiers,4,766
Neil,4,767
coffee's,4,768
kitty,4,769
dance,4,770
light,4,771
which,4,772
count,4,773
uhuh,4,774
cans,4,775
cupboard,4,776
garbage,4,777
pages,4,778
anymore,4,779
sleepy,4,780
whoops,4,781
mailman,4,782
gun,4,783
night_night,4,784
byebye,4,785
place,4,786
full,4,787
lady's,4,788
um,4,789
drinks,4,790
toe,4,791
heard,4,792
carrot,4,793
toys,4,794
drop,4,795
peep,4,796
hammer,4,797
pennies,4,798
jumping,4,799
puzzle,4,800
coin,4,801
sandbox,4,802
moo,4,803
farm,4,804
watching,4,805
boom,4,806
telling,4,807
awake,4,808
word,4,809
beads,4,810
blanket,4,811
leaves,4,812
changing,4,813
has_to,4,814
fixing,4,815
vitamin,4,816
ringing,4,817
whether,4,818
besides,4,819
I've,4,820
tied,4,821
asked,4,822
shovel,4,823
legs,4,824
smile,4,825
jammies,4,826
towel,4,827
kangaroo,4,828
envelope,4,829
wagon,4,830
left,4,831
ever,4,832
happen,4,833
send,4,834
Sheila,4,835
clothes,4,836
Margaret,4,837
melted,4,838
along,4,839
ear,4,840
goodness_sakes,4,841
numbers,4,842
drawing,4,843
black,4,844
kinds,4,845
potatoes,4,846
white,4,847
sticky,4,848
care,4,849
cry,4,850
saw,4,851
seen,4,852
year,4,853
last,4,854
chin,4,855
railroad,4,856
airplane,4,857
works,4,858
yellow,4,859
peek,4,860
salt,4,861
medicine,4,862
really,4,863
Nancy,4,864
dinosaur,4,865
fan,4,866
daughters,4,867
peg,4,868
arms,4,869
she'd,4,870
Cummings,4,871
they'll,4,872
shell,4,873
few,4,874
shoot,4,875
lemon,4,876
says,4,877
magic,4,878
Momma,4,879
Daddy's,4,880
kill,3,881
Grandma,3,882
ate,3,883
Jill,3,884
wanted,3,885
where're,3,886
jar,3,887
quack,3,888
what'll,3,889
tired,3,890
seat,3,891
paper's,3,892
called,3,893
pardon,3,894
king,3,895
cat,3,896
mail,3,897
Dumpty,3,898
horsie's,3,899
wall,3,900
wouldn't,3,901
Mama,3,902
mommy,3,903
swim,3,904
pottie,3,905
we've,3,906
pillows,3,907
fire,3,908
bumped,3,909
Nana,3,910
Peter,3,911
should,3,912
mm,3,913
tore,3,914
dress,3,915
never,3,916
reading,3,917
uh,3,918
six,3,919
build,3,920
Frosty_the_snowman,3,921
bringing,3,922
such,3,923
hanging,3,924
goodie,3,925
baseball,3,926
cannot,3,927
goldfish,3,928
they've,3,929
hiding,3,930
Old_Macdonald,3,931
roll,3,932
mittens,3,933
found,3,934
duck,3,935
dustpan,3,936
we'd,3,937
warm,3,938
Fraser'll,3,939
cover,3,940
broken,3,941
rinse,3,942
pickle,3,943
nipple,3,944
puts,3,945
slipped,3,946
leg,3,947
button,3,948
penny,3,949
barking,3,950
ring,3,951
grow,3,952
Marcia's,3,953
alone,3,954
night,3,955
feed,3,956
sometimes,3,957
Colin's,3,958
able,3,959
wiped,3,960
toaster,3,961
upside,3,962
tiny,3,963
loud,3,964
straight,3,965
picking,3,966
ahead,3,967
eaten,3,968
games,3,969
pinch,3,970
calendar,3,971
downstairs,3,972
goodness,3,973
easier,3,974
using,3,975
sweeper,3,976
drank,3,977
t_v,3,978
taxis,3,979
ago,3,980
Monday,3,981
purple,3,982
clear,3,983
mailbox,3,984
together,3,985
Frosty,3,986
porch,3,987
snap,3,988
trash,3,989
i,3,990
vegetable,3,991
spells,3,992
t,3,993
Pop,3,994
peas,3,995
hunm,3,996
hall,3,997
Timmy,3,998
Timothy's,3,999
Timmy's,3,1000
Josh,3,1001
pies,3,1002
upset,3,1003
of_course,3,1004
since,3,1005
granpa,3,1006
untied,3,1007
balloon,3,1008
falling,3,1009
bridge,3,1010
airport,3,1011
fortnight,3,1012
sharing,3,1013
raisins,3,1014
caught,3,1015
catch,3,1016
pedal,3,1017
wears,3,1018
pushing,3,1019
singing,3,1020
even,3,1021
bump,3,1022
wakes,3,1023
s,3,1024
seed,3,1025
seeds,3,1026
Peabody,3,1027
School,3,1028
everybody,3,1029
pepper,3,1030
chewing,3,1031
children,3,1032
daughter,3,1033
friends,3,1034
sweetheart,3,1035
water's,3,1036
drip,3,1037
maam,3,1038
quickly,3,1039
God,3,1040
humming,3,1041
ought_to,3,1042
minutes,3,1043
drew,3,1044
bounce,3,1045
bus,3,1046
gravy,3,1047
bubble,3,1048
happens,3,1049
Colorado,3,1050
England,3,1051
what'd,3,1052
accident,3,1053
paint,3,1054
blouse,3,1055
toes,3,1056
easy,3,1057
Canada,3,1058
cushion,3,1059
exercise,3,1060
v,2,1061
calling,2,1062
choo,2,1063
Sambo,2,1064
don,2,1065
spool,2,1066
Granma,2,1067
bear,2,1068
poor,2,1069
bird,2,1070
ashtray,2,1071
unhappy,2,1072
Sandy,2,1073
wiener,2,1074
skunk,2,1075
babies,2,1076
holding,2,1077
ball,2,1078
leotards,2,1079
turning,2,1080
custard,2,1081
awfully,2,1082
pumpkin,2,1083
wrote,2,1084
happening,2,1085
machine,2,1086
burned,2,1087
apart,2,1088
tastes,2,1089
understand,2,1090
start,2,1091
used,2,1092
shelf,2,1093
lunchtime,2,1094
macaroni,2,1095
lie,2,1096
pin,2,1097
lying,2,1098
dancing,2,1099
bowel,2,1100
movement,2,1101
when's,2,1102
lost,2,1103
beside,2,1104
parsley,2,1105
bacon,2,1106
brought,2,1107
scarf,2,1108
street,2,1109
apples,2,1110
trays,2,1111
waking,2,1112
sounds,2,1113
livingroom,2,1114
party,2,1115
Judy,2,1116
squashing,2,1117
noisy,2,1118
mess,2,1119
animal,2,1120
moving,2,1121
burp,2,1122
Eve'll,2,1123
Eve_Cummings,2,1124
working,2,1125
A_and_P,2,1126
mixing,2,1127
suit,2,1128
Tequita,2,1129
Linda,2,1130
toast,2,1131
checking,2,1132
trouble,2,1133
Mom'll,2,1134
straighten,2,1135
curtains,2,1136
bathrobe,2,1137
crash,2,1138
spit,2,1139
kind_of,2,1140
wondered,2,1141
dishes,2,1142
firetruck,2,1143
walking,2,1144
Kix,2,1145
food,2,1146
yyy,2,1147
looked,2,1148
dollies,2,1149
turtle,2,1150
darn_it,2,1151
slow,2,1152
hang,2,1153
fingernail,2,1154
scissors,2,1155
squirrel,2,1156
Granpa,2,1157
tapioca's,2,1158
runny,2,1159
bobbing,2,1160
salami,2,1161
slept,2,1162
naughty,2,1163
gives,2,1164
elbow,2,1165
babe,2,1166
row,2,1167
paddle,2,1168
today's,2,1169
writes,2,1170
pure,2,1171
harder,2,1172
bibbie's,2,1173
early,2,1174
doo,2,1175
spot,2,1176
tunnel,2,1177
brush,2,1178
asleep,2,1179
hats,2,1180
drum,2,1181
threw,2,1182
words,2,1183
fence,2,1184
store,2,1185
trucks,2,1186
lists,2,1187
g,2,1188
Joanne,2,1189
jelly,2,1190
coat's,2,1191
vitamins,2,1192
girls,2,1193
everybody's,2,1194
self,2,1195
flip,2,1196
pie,2,1197
perhaps,2,1198
laughing,2,1199
splinters,2,1200
happiness,2,1201
folding,2,1202
Dodies,2,1203
mistake,2,1204
Rhode,2,1205
Island,2,1206
blowing,2,1207
its,2,1208
tune,2,1209
sheets,2,1210
bed's,2,1211
bucket,2,1212
staying,2,1213
exactly,2,1214
wrists,2,1215
Fizzies,2,1216
digging,2,1217
fizzing,2,1218
kleenex,2,1219
rather,2,1220
bibs,2,1221
whistle,2,1222
five,2,1223
squash,2,1224
rice,2,1225
bone,2,1226
chops,2,1227
splinter,2,1228
followed,2,1229
takes,2,1230
afterwards,2,1231
there're,2,1232
Miss,2,1233
yard,2,1234
gruyere,2,1235
squeeze,2,1236
child,2,1237
papa,2,1238
family,2,1239
meeting,2,1240
old,2,1241
good_morning,2,1242
turned,2,1243
sleeves,2,1244
wonder,2,1245
suck,2,1246
barefoot,2,1247
leaning,2,1248
listen,2,1249
peeking,2,1250
knit,2,1251
save,2,1252
thaw,2,1253
zwieback,2,1254
plan,2,1255
pulling,2,1256
statue,2,1257
rain,2,1258
hurts,2,1259
best,2,1260
hangnail,2,1261
favorite,2,1262
rhyme,2,1263
tail,2,1264
spoonful,2,1265
wonderful,2,1266
ties,2,1267
tomatoes,2,1268
bent,2,1269
tracks,2,1270
hap,2,1271
Cambridge,2,1272
pool,2,1273
buttons,2,1274
song,2,1275
helps,2,1276
ground,2,1277
drive,2,1278
bought,2,1279
Schroeder,2,1280
monkey,2,1281
visit,2,1282
stew,2,1283
freeze,2,1284
fashion,2,1285
itself,2,1286
Jackie,2,1287
sis,2,1288
fat,2,1289
e,2,1290
eyebrow,2,1291
chimney,2,1292
close,2,1293
sharp,2,1294
edges,2,1295
Sara's,2,1296
matter,2,1297
squirrelly,2,1298
drinker,2,1299
as_well,1,1300
cookie's,1,1301
bye,1,1302
ducks,1,1303
stepping,1,1304
man'll,1,1305
Neil's,1,1306
farmer,1,1307
a_lot_of,1,1308
stirs,1,1309
record,1,1310
cough,1,1311
Rangy's,1,1312
stool's,1,1313
changed,1,1314
Kathy's,1,1315
Sandy's,1,1316
climbing,1,1317
liked,1,1318
pan,1,1319
cooked,1,1320
cigar,1,1321
door's,1,1322
kick,1,1323
changes,1,1324
leotard,1,1325
backwards,1,1326
middle,1,1327
gentlemen,1,1328
nothing's,1,1329
prettier,1,1330
means,1,1331
excuse,1,1332
my_dear,1,1333
fixes,1,1334
muffin,1,1335
spoons,1,1336
sound,1,1337
soup's,1,1338
Lady_Bump,1,1339
job,1,1340
emptying,1,1341
for_goodness_sake,1,1342
Lassie's,1,1343
finishes,1,1344
banging,1,1345
necessary,1,1346
furniture,1,1347
swallow,1,1348
songs,1,1349
anyway,1,1350
sec,1,1351
answer,1,1352
Natalie,1,1353
sock's,1,1354
further,1,1355
dresses,1,1356
shoe's,1,1357
cracked,1,1358
difference,1,1359
gimme,1,1360
game,1,1361
pot,1,1362
worry,1,1363
bike,1,1364
onto,1,1365
miss,1,1366
cooker,1,1367
captain,1,1368
Bob,1,1369
hand's,1,1370
puzzle's,1,1371
ran,1,1372
decorating,1,1373
Brown's,1,1374
burger,1,1375
hamburger,1,1376
hum,1,1377
learn,1,1378
sheep,1,1379
Frosty_the_Snowman,1,1380
started,1,1381
snowballs,1,1382
skating,1,1383
shopping,1,1384
shops,1,1385
policeman,1,1386
chicks,1,1387
cows,1,1388
donkeys,1,1389
donkey,1,1390
trees,1,1391
dusted,1,1392
cube,1,1393
jumped,1,1394
n,1,1395
Old_Macdonald's,1,1396
television,1,1397
Davy,1,1398
olive,1,1399
missed,1,1400
mustn't,1,1401
loving,1,1402
ashes,1,1403
riding,1,1404
sneeze,1,1405
sneezes,1,1406
Thursday,1,1407
Jim_jump,1,1408
shoving,1,1409
pans,1,1410
mouthful,1,1411
chips,1,1412
Momma's,1,1413
rock_a_bye_baby,1,1414
Feed_the_Animals,1,1415
Sarah'll,1,1416
whens,1,1417
nightie,1,1418
bottles,1,1419
beer,1,1420
written,1,1421
space,1,1422
without,1,1423
