word,count,rank
been,20,468
flat,20,469
tear,20,470
boot,20,471
turning,20,472
room,20,473
silly,20,474
strong,20,475
noise,20,476
pennies,20,477
into,20,478
cow,20,479
sugar,20,480
writing,19,481
Mommy's,19,482
anymore,19,483
lady,19,484
shave,19,485
wagon,19,486
already,19,487
step,19,488
buy,19,489
letter,19,490
scissors,19,491
black,19,492
fit,19,493
number,19,494
button,19,495
press,19,496
garage,19,497
run,19,498
magic,19,499
quack,19,500
germs,19,501
butter,19,502
Italy,19,503
change,18,504
kitty,18,505
trailer,18,506
Perro,18,507
haven't,18,508
old,18,509
hammer,18,510
feel,18,511
knocked,18,512
stick,18,513
five,18,514
huh,18,515
means,18,516
horn,17,517
Bozo,17,518
Humpty_Dumpty,17,519
record,17,520
touch,17,521
wash,17,522
David,17,523
bite,17,524
girl,17,525
turned,17,526
matter,17,527
string,17,528
makes,17,529
pencils,17,530
cup,17,531
wanted,17,532
crying,17,533
gas,17,534
o'clock,17,535
spoon,17,536
rocket,17,537
shoot,17,538
line,17,539
build,16,540
afraid,16,541
arm,16,542
pushing,16,543
until,16,544
Bambi,16,545
egg,16,546
block,16,547
properly,16,548
sound,16,549
shovel,16,550
heavy,16,551
hair,16,552
laughing,16,553
seal,16,554
us,16,555
hard,16,556
wheel,16,557
ones,16,558
giving,16,559
dollars,16,560
barn,16,561
page,16,562
macaroni,16,563
waiting,16,564
glasses,16,565
apart,16,566
half,16,567
sun,15,568
park,15,569
driving,15,570
happening,15,571
beans,15,572
live,15,573
set,15,574
whistle,15,575
learn,15,576
pieces,15,577
tail,15,578
drop,15,579
drawer,15,580
real,15,581
walking,15,582
knife,15,583
cowboy's,15,584
rubber,15,585
rope,15,586
fold,15,587
ever,15,588
left,15,589
understand,15,590
different,15,591
h,15,592
key,15,593
snake,15,594
animal,15,595
broom,14,596
diaper,14,597
church,14,598
tea,14,599
apple,14,600
nap,14,601
always,14,602
Jesus,14,603
coming,14,604
eye,14,605
ears,14,606
,14,607
sounds,14,608
ran,14,609
words,14,610
lots_of,14,611
fight,14,612
riding,14,613
tiny,14,614
track,14,615
board,14,616
bit,14,617
flower,14,618
himself,14,619
driver,14,620
next,14,621
tree,14,622
minute,14,623
brother,14,624
both,14,625
building,14,626
Joe,14,627
umbrella,14,628
tractor,13,629
tow,13,630
kick,13,631
boy's,13,632
pictures,13,633
drawing,13,634
found,13,635
stuck,13,636
called,13,637
store,13,638
bear,13,639
he'd,13,640
tummy,13,641
elephant,13,642
sounded,13,643
checking,13,644
cold,13,645
everything,13,646
dinosaur,13,647
named,13,648
my_goodness,13,649
standing,13,650
band,13,651
wake,13,652
factory,13,653
he'll,13,654
minutes,13,655
tomorrow,13,656
pay,13,657
caught,13,658
leg,13,659
station,13,660
gun,13,661
happy,13,662
giant,13,663
whoops,13,664
sometimes,13,665
cry,13,666
far,13,667
space,13,668
used,13,669
cook,13,670
thirty,13,671
dozen,13,672
ring,13,673
Rinny,13,674
drum,12,675
shadow,12,676
fix,12,677
sticks,12,678
surprise,12,679
clean,12,680
such,12,681
gone,12,682
tonight,12,683
care,12,684
caboose,12,685
pants,12,686
machine,12,687
burn,12,688
end,12,689
children,12,690
six,12,691
letters,12,692
shell,12,693
pie,12,694
being,12,695
mittens,12,696
upstairs,12,697
ship,12,698
twelve,12,699
seem,12,700
farm,12,701
fourteen,12,702
beard,12,703
cutting,12,704
bigger,12,705
meat,12,706
tricks,12,707
tiger,12,708
dry,12,709
b,12,710
blocks,12,711
cookies,12,712
pilot,12,713
why're,12,714
white,12,715
crayons,12,716
brush,11,717
spell,11,718
screwdriver,11,719
mail,11,720
couldn't,11,721
bee,11,722
pig,11,723
knee,11,724
racket,11,725
nail,11,726
sharp,11,727
excuse,11,728
spill,11,729
hang,11,730
games,11,731
bread,11,732
ate,11,733
somebody's,11,734
brought,11,735
round,11,736
even,11,737
spider,11,738
chocolate,11,739
ear,11,740
lose,11,741
dark,11,742
bad,11,743
cowboys,11,744
forget,11,745
telephone,11,746
Boston,11,747
birthday,11,748
stove,11,749
motor,11,750
looked,11,751
birds,11,752
gently,11,753
bug,11,754
punch,11,755
played,11,756
mother,11,757
ink,11,758
lobster,11,759
bottom,11,760
Indians,11,761
whale,11,762
quart,11,763
bike,10,764
carefully,10,765
Catherine,10,766
tomato,10,767
own,10,768
road,10,769
ladder,10,770
circle,10,771
all_gone,10,772
David's,10,773
march,10,774
Doctor,10,775
monkey,10,776
penny,10,777
tall,10,778
screws,10,779
without,10,780
takes,10,781
cooking,10,782
seven,10,783
television,10,784
its,10,785
turkey,10,786
refrigerator,10,787
cord,10,788
orange,10,789
singing,10,790
missing,10,791
fighting,10,792
check,10,793
breakfast,10,794
started,10,795
Rin_tin_tin,10,796
zoo,10,797
toe,10,798
near,10,799
telling,10,800
elevator,10,801
weren't,10,802
eight,10,803
clock,10,804
colors,10,805
holes,10,806
banjo,10,807
once,10,808
clothes,10,809
mirror,10,810
razor,10,811
doll,10,812
grow,10,813
spear,10,814
large,9,815
pillow,9,816
pony,9,817
straight,9,818
soup,9,819
pin,9,820
spaghetti,9,821
bath,9,822
whom,9,823
wall,9,824
coat,9,825
gets,9,826
wipe,9,827
hurts,9,828
tongue,9,829
firetruck,9,830
moon,9,831
pumpkin,9,832
bother,9,833
bowl,9,834
dancing,9,835
hungry,9,836
spilled,9,837
legs,9,838
slipper,9,839
seals,9,840
Peter,9,841
tunnel,9,842
afternoon,9,843
rode,9,844
brown,9,845
Rusty,9,846
