word,count,rank
"('hugged', 'v')",5,232
"('puts', 'v')",5,233
"('tied', 'v')",5,234
"('laugh', 'v')",5,235
"('falls', 'v')",5,236
"('hide', 'v')",5,237
"('begins', 'v')",5,238
"('sound', 'v')",4,239
"('stick', 'v')",4,240
"('water', 'v')",4,241
"('sounded', 'v')",4,242
"('scratched', 'v')",4,243
"('calls', 'v')",4,244
"('squeeze', 'v')",4,245
"('closed', 'v')",4,246
"('boots', 'v')",4,247
"('taste', 'v')",4,248
"('changed', 'v')",4,249
"('meant', 'v')",4,250
"('send', 'v')",4,251
"('figure', 'v')",4,252
"('knows', 'v')",4,253
"('turns', 'v')",4,254
"('swallow', 'v')",4,255
"('frightened', 'v')",4,256
"('spread', 'v')",4,257
"('dressed', 'v')",4,258
"('chew', 'v')",4,259
"('serve', 'v')",4,260
"('moves', 'v')",4,261
"('wish', 'v')",4,262
"('miss', 'v')",4,263
"('starts', 'v')",4,264
"('examine', 'v')",4,265
"('hope', 'v')",4,266
"('hits', 'v')",4,267
"('drill', 'v')",4,268
"('clean', 'v')",3,269
"('drives', 'v')",3,270
"('met', 'v')",3,271
"('smell', 'v')",3,272
"('hand', 'v')",3,273
"('writes', 'v')",3,274
"('walks', 'v')",3,275
"('scratch', 'v')",3,276
"('tickle', 'v')",3,277
"('moved', 'v')",3,278
"('eats', 'v')",3,279
"('squeak', 'v')",3,280
"('bless', 'v')",3,281
"('plugged', 'v')",3,282
"('waste', 'v')",3,283
"('brown', 'v')",3,284
"('smoke', 'v')",3,285
"('helps', 'v')",3,286
"('bake', 'v')",3,287
"('dance', 'v')",3,288
"('stands', 'v')",3,289
"('tricks', 'v')",3,290
"('throws', 'v')",3,291
"('wonder', 'v')",3,292
"('spoon', 'v')",3,293
"('rolled', 'v')",3,294
"('woke', 'v')",3,295
"('wan', 'v')",3,296
"('hop', 'v')",3,297
"('cool', 'v')",3,298
"('snap', 'v')",3,299
"('scoot', 'v')",3,300
"('opens', 'v')",3,301
"('cross', 'v')",3,302
"('cover', 'v')",3,303
"('share', 'v')",3,304
"('visit', 'v')",3,305
"('swim', 'v')",3,306
"('measure', 'v')",3,307
"('drew', 'v')",3,308
"('bought', 'v')",3,309
"('washed', 'v')",3,310
"('crawl', 'v')",3,311
"('blew', 'v')",3,312
"('rest', 'v')",3,313
"('mind', 'v')",3,314
"('unplug', 'v')",3,315
"('add', 'v')",3,316
"('dog', 'v')",2,317
"('care', 'v')",2,318
"('doubt', 'v')",2,319
"('picks', 'v')",2,320
"('warm', 'v')",2,321
"('whistle', 'v')",2,322
"('toys', 'v')",2,323
"('bend', 'v')",2,324
"('peekaboo', 'v')",2,325
"('snows', 'v')",2,326
"('bit', 'v')",2,327
"('fasten', 'v')",2,328
"('gas', 'v')",2,329
"('shot', 'v')",2,330
"('puzzle', 'v')",2,331
"('pants', 'v')",2,332
"('spanked', 'v')",2,333
"('kicked', 'v')",2,334
"('pressed', 'v')",2,335
"('plug', 'v')",2,336
"('peek', 'v')",2,337
"('stir', 'v')",2,338
"('exercise', 'v')",2,339
"('drinks', 'v')",2,340
"('whisper', 'v')",2,341
"('keeps', 'v')",2,342
"('tastes', 'v')",2,343
"('watches', 'v')",2,344
"('spit', 'v')",2,345
"('boat', 'v')",2,346
"('dump', 'v')",2,347
"('mail', 'v')",2,348
"('cries', 'v')",2,349
"('hurry', 'v')",2,350
"('burned', 'v')",2,351
"('rub', 'v')",2,352
"('explain', 'v')",2,353
"('hops', 'v')",2,354
"('skedaddle', 'v')",2,355
"('brush', 'v')",2,356
"('tried', 'v')",2,357
"('spells', 'v')",2,358
"('lift', 'v')",2,359
"('dried', 'v')",2,360
"('train', 'v')",2,361
"('injure', 'v')",2,362
"('tire', 'v')",2,363
"('drank', 'v')",2,364
"('tick', 'v')",2,365
"('carries', 'v')",2,366
"('tip', 'v')",2,367
"('name', 'v')",2,368
"('feed', 'v')",2,369
"('tipped', 'v')",2,370
"('jingle', 'v')",2,371
"('mix', 'v')",2,372
"('till', 'v')",2,373
"('visited', 'v')",2,374
"('tore', 'v')",2,375
"('doctor', 'v')",2,376
"('attach', 'v')",2,377
"('enjoy', 'v')",2,378
"('obey', 'v')",2,379
"('bowl', 'v')",2,380
"('matches', 'v')",2,381
"('walked', 'v')",2,382
"('ship', 'v')",2,383
"('roll', 'v')",2,384
"('watched', 'v')",2,385
"('reminds', 'v')",2,386
"('flash', 'v')",2,387
"('lives', 'v')",2,388
"('talks', 'v')",2,389
"('crows', 'v')",2,390
"('discovers', 'v')",2,391
"('realize', 'v')",2,392
"('kill', 'v')",2,393
"('wind', 'v')",2,394
"('tries', 'v')",2,395
"('repair', 'v')",2,396
"('dotted', 'v')",2,397
"('diddle', 'v')",2,398
"('fitted', 'v')",2,399
"('back', 'v')",2,400
"('wrap', 'v')",2,401
"('seek', 'v')",2,402
"('untangle', 'v')",2,403
"('straighten', 'v')",2,404
"('lived', 'v')",2,405
"('set', 'v')",2,406
"('begin', 'v')",2,407
"('follow', 'v')",2,408
"('dart', 'v')",2,409
"('darts', 'v')",2,410
"('crack', 'v')",2,411
"('surprise', 'v')",1,412
"('pats', 'v')",1,413
"('head', 'v')",1,414
"('deliver', 'v')",1,415
"('copy', 'v')",1,416
"('leaves', 'v')",1,417
"('glove', 'v')",1,418
"('loves', 'v')",1,419
"('passed', 'v')",1,420
"('beep', 'v')",1,421
"('mouth', 'v')",1,422
"('sun', 'v')",1,423
"('milk', 'v')",1,424
"('carried', 'v')",1,425
"('tickled', 'v')",1,426
"('disrupt', 'v')",1,427
"('hollow', 'v')",1,428
